Distrito,Habitaciones,Operacion,Precio,Tamano,Garaje,Trastero,Piscina,Terraza,Planta,Exterior,Ascensor,Ano_construccion,Ano_reforma,Tipo_vivienda,Banos
CENTRO,1,alquiler,2500,82.0,False,False,False,False,1.0,True,True,,,apartamento,1
CENTRO,1,alquiler,2400,68.0,False,False,False,False,3.0,True,True,1960.0,,apartamento,1
CENTRO,3,alquiler,6000,10.0,False,False,False,False,,False,True,,,apartamento,1
CENTRO,2,alquiler,1900,105.0,False,False,False,False,5.0,False,True,,,apartamento,1
CENTRO,2,alquiler,5200,147.0,False,False,False,False,,False,True,,,apartamento,1
CENTRO,1,alquiler,1950,81.0,False,False,False,False,3.0,True,True,,,apartamento,1
CENTRO,2,alquiler,2000,50.0,False,False,False,False,,False,True,,,apartamento,1
CENTRO,2,alquiler,1600,55.0,False,False,False,False,,False,False,,,apartamento,1
CENTRO,1,alquiler,2300,45.0,False,False,False,True,5.0,True,True,,,apartamento,1
CENTRO,2,alquiler,1190,38.0,False,False,False,False,5.0,False,True,,,apartamento,1
CENTRO,2,alquiler,1650,75.0,False,False,False,False,1.0,True,False,,,apartamento,1
CENTRO,1,alquiler,3285,74.0,False,False,False,False,1.0,True,True,,,apartamento,1
CENTRO,1,alquiler,2835,71.0,False,False,False,False,5.0,True,True,,,apartamento,1
CENTRO,1,alquiler,2840,65.0,False,False,False,False,1.0,True,True,,,apartamento,1
CENTRO,1,alquiler,1755,55.0,False,False,False,False,2.0,True,True,,,apartamento,1
CENTRO,2,alquiler,2295,82.0,False,False,False,False,2.0,True,True,,,apartamento,1
CENTRO,3,alquiler,4298,125.0,False,False,False,False,2.0,True,True,,,apartamento,1
CENTRO,3,alquiler,6750,186.0,False,False,False,False,5.0,True,True,,,apartamento,1
CENTRO,2,alquiler,2775,65.0,False,False,False,False,5.0,True,True,,,apartamento,1
CENTRO,2,alquiler,2795,80.0,False,False,False,False,5.0,False,True,,,apartamento,2
CENTRO,1,alquiler,1823,54.0,False,False,False,False,3.0,True,True,,,apartamento,1
CENTRO,1,alquiler,2990,80.0,False,False,False,False,4.0,True,True,,,apartamento,1
CENTRO,2,alquiler,3038,96.0,False,False,False,False,0.0,True,False,,,apartamento,1
CENTRO,3,alquiler,3000,90.0,False,False,False,False,2.0,True,True,,,apartamento,1
CENTRO,2,alquiler,2250,95.0,False,False,False,False,2.0,True,True,,,apartamento,1
CENTRO,2,alquiler,1600,70.0,False,False,False,False,3.0,True,False,,,apartamento,1
CENTRO,2,alquiler,1850,88.0,False,False,False,False,4.0,False,True,,,apartamento,1
CENTRO,2,alquiler,3995,214.0,False,False,False,False,4.0,True,True,,,apartamento,1
CENTRO,2,alquiler,3245,111.0,False,False,False,False,1.0,False,True,,,apartamento,1
CENTRO,3,alquiler,4160,168.0,False,False,False,False,1.0,True,True,,,apartamento,2
CENTRO,2,alquiler,2436,93.0,False,False,False,False,1.0,False,True,,,apartamento,1
CENTRO,2,alquiler,1600,68.0,False,False,False,False,2.0,False,True,1905.0,,apartamento,1
CENTRO,1,alquiler,3443,150.0,False,False,False,False,3.0,True,False,,,apartamento,1
CENTRO,1,alquiler,2260,48.0,False,False,False,False,1.0,True,True,,,apartamento,1
CENTRO,2,alquiler,2605,75.0,False,False,False,False,4.0,True,True,,,apartamento,2
CENTRO,1,alquiler,2455,60.0,False,False,True,False,3.0,True,True,,,apartamento,1
CENTRO,2,alquiler,2990,85.0,False,False,False,False,4.0,True,True,,,apartamento,2
CENTRO,1,alquiler,3540,115.0,False,False,False,True,5.0,True,True,,,dúplex,1
CENTRO,1,alquiler,2160,70.0,False,False,True,True,2.0,True,True,,,apartamento,1
CENTRO,2,alquiler,4770,185.0,False,False,False,True,8.0,True,True,,,apartamento,1
CENTRO,2,alquiler,2705,68.0,False,False,False,True,5.0,False,True,,,apartamento,1
CENTRO,2,alquiler,2800,40.0,False,False,False,False,0.0,True,True,,,estudio,1
CENTRO,1,alquiler,2000,35.0,False,False,False,False,0.0,False,False,,,apartamento,1
CENTRO,1,alquiler,1600,50.0,False,False,False,False,1.0,True,True,,,apartamento,1
CENTRO,3,alquiler,2500,70.0,False,False,False,False,4.0,True,True,,,apartamento,1
CENTRO,2,alquiler,3395,90.0,False,False,False,False,2.0,True,True,,,apartamento,1
CENTRO,2,alquiler,2600,93.0,False,False,False,False,1.0,True,True,,,apartamento,1
CENTRO,1,alquiler,1850,54.0,False,False,False,False,,False,True,,,apartamento,1
CENTRO,6,alquiler,11000,563.0,False,False,False,False,2.0,True,True,,,apartamento,1
CENTRO,1,alquiler,1650,80.0,False,False,False,False,2.0,False,False,,,apartamento,1
CENTRO,2,alquiler,3105,104.0,False,False,False,False,1.0,False,True,,,apartamento,1
CENTRO,2,alquiler,1400,45.0,False,False,False,False,,True,False,,,apartamento,1
CENTRO,1,alquiler,3495,108.0,False,False,False,False,1.0,True,True,,,apartamento,1
CENTRO,1,alquiler,1350,57.0,False,False,False,False,5.0,True,True,,,apartamento,1
CENTRO,2,alquiler,4495,101.0,False,False,False,False,2.0,True,True,,,apartamento,1
CENTRO,2,alquiler,2400,124.0,False,False,False,False,2.0,True,True,,,apartamento,1
CENTRO,2,alquiler,3995,118.0,False,False,False,False,2.0,True,True,,,apartamento,1
CENTRO,2,alquiler,3800,120.0,False,False,False,False,1.0,True,False,,,apartamento,1
CENTRO,3,alquiler,2500,114.0,False,False,False,False,2.0,True,True,,,estudio,1
CENTRO,4,alquiler,2465,93.0,False,False,False,False,,False,False,,,apartamento,1
CENTRO,1,alquiler,1850,54.0,False,False,False,True,,False,True,,,apartamento,2
CENTRO,2,alquiler,9650,191.0,False,False,False,False,2.0,True,True,,,apartamento,1
CENTRO,2,alquiler,9650,180.0,False,False,False,False,1.0,True,True,,,apartamento,1
