,LOCATIONID,LOCATIONNAME,MUNICIPALITY,PRICE_SALE,PRICE_RENT,UNITPRICE_SALE,UNITPRICE_RENT,GROSS_YIELD,GROSS_YIELD_MA12,GROSS_YIELD_VOLATILITY,VIEWS_PER_AD_SALE,VIEWS_PER_AD_RENT,LEADS_PER_AD_SALE,LEADS_PER_AD_RENT,NET_HOUSEHOLD_INCOME,EFFORTRATE_SALE,EFFORTRATE_RENT,YEAR,MONTH,Edad media de la población,Población,Porcentaje de población de 65 y más años,Porcentaje de población menor de 18 años,Tamaño medio del hogar
92,0-EU-ES-28-07-001-079-02,Arganzuela,Madrid,254531.872506351,938.505658967258,2898.95097728285,12.7113624342299,5.26177746385104,5.15844942513653,0.0951617581004777,79.0696670049962,200.279549659823,0.988706243951544,4.35286197198167,,,,2016,4,43.6,150474.0,18.6,14.7,2.4
93,0-EU-ES-28-07-001-079-02,Arganzuela,Madrid,257924.913441722,953.20019767484,2930.85592619976,12.7663228803611,5.22700120449018,5.17728981378448,0.0838114631691608,71.8761497481052,199.970956537447,0.898831037196159,4.56165387190228,,,,2016,5,43.6,150474.0,18.6,14.7,2.4
94,0-EU-ES-28-07-001-079-02,Arganzuela,Madrid,259751.203998094,932.571129977143,2950.55563901246,12.8059021149315,5.20819954544598,5.19281340910312,0.0696509550471194,68.4449409537213,199.420690908697,0.827311149637448,4.64277262710211,33872.844253966,34.9009773464931,36.7742156189728,2016,6,43.6,150474.0,18.6,14.7,2.4
95,0-EU-ES-28-07-001-079-02,Arganzuela,Madrid,259744.396576409,891.476297191937,2973.40077768941,12.9596156683465,5.2302195246282,5.204277342654,0.0632488335272478,58.8607906774795,181.568078999884,0.68066057373578,4.37903067743597,,,,2016,7,43.6,150474.0,18.6,14.7,2.4
96,0-EU-ES-28-07-001-079-02,Arganzuela,Madrid,260229.53440754,941.745706984054,2992.00618225515,13.2700078992343,5.32218468448447,5.21897083932251,0.0682544667754536,56.2997076000793,201.831708281341,0.667672600606559,5.49005941968258,,,,2016,8,43.6,150474.0,18.6,14.7,2.4
97,0-EU-ES-28-07-001-079-02,Arganzuela,Madrid,259126.411190557,986.051474579496,3009.00505155014,13.1962740813173,5.262712633009,5.22965101930095,0.0641104633915322,83.2144885348458,270.181236193398,1.08024207025669,7.70117490242894,34305.9707247843,34.7713102277483,37.6771882183756,2016,9,43.6,150474.0,18.6,14.7,2.4
98,0-EU-ES-28-07-001-079-02,Arganzuela,Madrid,259099.050140801,1057.65111044856,3015.3118999511,13.1983166104191,5.25251796763042,5.24344287814171,0.0476246485503275,85.8248266754272,240.826878583484,1.19763489580411,7.26422498087457,,,,2016,10,43.6,150474.0,18.6,14.7,2.4
99,0-EU-ES-28-07-001-079-02,Arganzuela,Madrid,258150.928354691,1046.98822516537,3000.0387607522,13.3238011698387,5.32945161008442,5.26018432395141,0.0387858234167234,89.3999535389239,224.685605438174,1.2204436442732,6.42578687776023,,,,2016,11,43.6,150474.0,18.6,14.7,2.4
100,0-EU-ES-28-07-001-079-02,Arganzuela,Madrid,262396.579245516,1021.78461707845,3028.96114231679,13.4648462714994,5.33444133701908,5.26980017375129,0.0415979481555469,82.1123744732678,203.400184093289,1.0492637669025,5.58538972742366,35343.7036701798,32.6309402837699,36.9692284305527,2016,12,43.6,150474.0,18.6,14.7,2.4
101,0-EU-ES-28-07-001-079-02,Arganzuela,Madrid,269025.326876731,1021.137455565,3060.87817209674,13.59478748952,5.32975965399136,5.27741434498346,0.0434717142938572,94.9599259040568,215.75163353922,1.38103915454272,6.35488066809284,,,,2017,1,43.8,151527.0,18.9,14.5,2.4
102,0-EU-ES-28-07-001-079-02,Arganzuela,Madrid,272042.009319134,1029.91130729826,3082.26317591665,13.6185018084168,5.30201388959593,5.28084996059419,0.043650592120772,117.685855372808,236.979955843495,1.6791068859536,6.31313941132308,,,,2017,2,43.8,151527.0,18.9,14.5,2.4
103,0-EU-ES-28-07-001-079-02,Arganzuela,Madrid,290198.18671632,1122.40879242837,3156.8094569665,14.265901219338,5.42290616414208,5.29026547319768,0.05854881496401,102.401930132874,174.225440555043,1.38120350598975,4.72199822763056,33256.782977469,35.5099883974477,40.8932488625425,2017,3,43.8,151527.0,18.9,14.5,2.4
