Distrito,Habitaciones,Operacion,Precio,Tamano,Garaje,Trastero,Piscina,Terraza,Planta,Exterior,Ascensor,Ano_construccion,Ano_reforma,Tipo_vivienda,Banos,Cluster_KMeans,Cluster_GMM,Cluster_HDBSCAN,Cluster_DP_GMM
CENTRO,3,0,4298,125.0,0,0,0,0,2.0,1,1,,,0,1,1,0,2,0
CENTRO,3,0,6750,186.0,0,0,0,0,5.0,1,1,,,0,1,1,8,2,10
CENTRO,2,0,2775,65.0,0,0,0,0,5.0,1,1,,,0,1,1,0,2,0
CENTRO,2,0,2795,80.0,0,0,0,0,5.0,0,1,,,0,2,1,13,-1,13
CENTRO,1,0,1823,54.0,0,0,0,0,3.0,1,1,,,0,1,1,0,2,0
CENTRO,1,0,2990,80.0,0,0,0,0,4.0,1,1,,,0,1,1,0,2,0
CENTRO,2,0,3038,96.0,0,0,0,0,0.0,1,0,,,0,1,3,16,1,15
CENTRO,3,0,3000,90.0,0,0,0,0,2.0,1,1,,,0,1,1,0,2,0
CENTRO,2,0,2250,95.0,0,0,0,0,2.0,1,1,,,0,1,1,0,2,0
CENTRO,2,0,1600,70.0,0,0,0,0,3.0,1,0,,,0,1,3,16,1,15
CENTRO,2,0,1850,88.0,0,0,0,0,4.0,0,1,,,0,1,1,15,1,6
CENTRO,2,0,3995,214.0,0,0,0,0,4.0,1,1,,,0,1,1,8,2,10
CENTRO,2,0,3245,111.0,0,0,0,0,1.0,0,1,,,0,1,1,15,1,6
CENTRO,3,0,4160,168.0,0,0,0,0,1.0,1,1,,,0,2,1,13,-1,13
CENTRO,2,0,2436,93.0,0,0,0,0,1.0,0,1,,,0,1,1,15,1,6
CENTRO,2,0,1600,68.0,0,0,0,0,2.0,0,1,1905.0,,0,1,1,15,1,6
CENTRO,1,0,3443,150.0,0,0,0,0,3.0,1,0,,,0,1,3,19,1,15
CENTRO,1,0,2260,48.0,0,0,0,0,1.0,1,1,,,0,1,1,0,2,0
CENTRO,2,0,2605,75.0,0,0,0,0,4.0,1,1,,,0,2,1,13,-1,13
CENTRO,1,0,2455,60.0,0,0,1,0,3.0,1,1,,,0,1,1,0,2,0
CENTRO,2,0,2990,85.0,0,0,0,0,4.0,1,1,,,0,2,1,13,-1,13
CENTRO,1,0,3540,115.0,0,0,0,1,5.0,1,1,,,2,1,4,4,0,3
CENTRO,1,0,2160,70.0,0,0,1,1,2.0,1,1,,,0,1,1,0,2,0
CENTRO,2,0,4770,185.0,0,0,0,1,8.0,1,1,,,0,1,1,8,2,10
CENTRO,2,0,2705,68.0,0,0,0,1,5.0,0,1,,,0,1,1,15,1,6
CENTRO,2,0,2800,40.0,0,0,0,0,0.0,1,1,,,3,1,4,5,0,3
CENTRO,1,0,2000,35.0,0,0,0,0,0.0,0,0,,,0,1,3,3,3,8
CENTRO,1,0,1600,50.0,0,0,0,0,1.0,1,1,,,0,1,1,0,2,0
CENTRO,3,0,2500,70.0,0,0,0,0,4.0,1,1,,,0,1,1,0,2,0
CENTRO,2,0,3395,90.0,0,0,0,0,2.0,1,1,,,0,1,1,0,2,0
CENTRO,2,0,2600,93.0,0,0,0,0,1.0,1,1,,,0,1,1,0,2,0
